Liên kết,Ảnh sản phẩm,Mã sản phẩm,Tên sản phẩm,Mã danh mục,Số sản phẩm đã bán,Giá,Giá thị trường,Tiết kiệm,Phần trăm giảm,Đánh giá trung bình,Số lượt đánh giá,Số lượt hỏi đáp,Barcode,Thương Hiệu,Xuất xứ thương hiệu,Nơi sản xuất,Giới tính,Thành phần sản phẩm,Hướng dẫn sử dụng,Đặc Tính,Loại da,Vấn đề về da
https://hasaki.vn/san-pham/kem-danh-rang-marvis-whitening-mint-lam-trang-rang-85ml-113073.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422215456-1696844962_img_385x385_622873_fit_center.jpg,422215456,Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml,323,672,178.000 ₫,279.000 ₫,101.000 ₫,-36%,4.8,13,12,8004395111718,Marvis,Ý,,Tất cả,"
Thành phần chi tiết:
1. Marvis Whitening Mint (Màu bạc)
Glycerin, Aluminum Hydroxide, Aqua (Water/Eau), Titanium Dioxide, Sodium Lauryl Sulfate, Silica, Aroma (Flavor), Cellulose Gum, Sodium Saccharin, Eugenol, Limonene, Benzyl Alcohol, Sodium Citrate, Citric Acid
2. Marvis Classic Strong Mint (Màu xanh lá)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (AROMA MENTA TP 14263), Cellulose Gum, Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
3. Marvis Jasmin Mint (Màu tím)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (AROMA MENTA GELSOMINO 96519961), Cellulose Gum, Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
4. Marvis Amarelli Licorice Mint (Màu đen)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (aroma licorice mint norm opt eaj56087/00), Xylitol, Sodium Lauryl Sulfate, Cellulose Gum, Tit anium Diox ide , Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
5. Marvis Aquatic Mint (Màu xanh dương)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (aroma menta aquatic 96534797), Cellulose Gum,Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate
6. Marvis Cinnamon Mint (Màu đỏ)
Glycerin, Aluminum Hydroxide ,Aqua, Silica, Aroma (aroma tp14159 norm opt 2 Eak57344/00), Xylitol, Sodium Lauryl Sulfate, Cellulose Gum, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
7. Marvis Smokers Whitening Mint (Cho người hút thuốc)
Glycerin, Aluminum Hydroxide, Aqua, Hydrated Silica (SORBOSIL AC 35, Hydrated Silica (SORBOSIL AC 23), PVP, Silica, Aroma (AROMA MENTA TP 14263), Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Cellulose Gum, Trisodium Phosphate, Sodium Saccharin, Sodium Fluoride.
 ","


Làm ướt miệng và răng bằng nước hoặc nước ấm. Tuyệt hơn khi dùng nước muối.


Cho một ít kem đánh răng Marvis ra bàn chải đánh răng của bạn.


Sau đó đánh đều các vị trí quan trọng của hàm trên và dưới.


Súc miệng sạch với nước hoặc nước ấm.

 ",,,
https://hasaki.vn/san-pham/kem-danh-rang-median-dental-iq-lam-sang-mau-trang-bac-120g-moi-113417.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-danh-rang-median-dental-iq-lam-sang-mau-trang-bac-120g-moi_hUtQr55z7rAHDELC_img_385x385_622873_fit_center.png,422215645,Kem Đánh Răng Median IQ 93% Trắng Răng Màu Trắng Bạc 120g,323,1.446,38.000 ₫,65.000 ₫,27.000 ₫,-42%,4.8,4,6,8809585101438,Median,Hàn Quốc,Korea,Tất cả,"
MEDIAN Dental IQ Tartar Care Original Toothpaste 120g
[Thành phần đặc hiệu] chiết xuất trà xanh cô đặc, Dental Type Silica, Sodium Monofluorophosphate, Sodium Pyrophosphate [Chất phụ gia khác] L-mentol, Sodium Saccharin, Titanium Dioxide, Cellulose Gum, Sodium Laureth Sulfate, Sorbitol Solution, Sucralose, nước tinh khiết, Zeolite*Silica, Ground Calcium Carbonate, hương liệu
MEDIAN Dental IQ Tartar Care Fresh Breath Toothpaste 120g
[Thành phần đặc hiệu] chiết xuất trà xanh cô đặc, Dental Type Silica, Sodium Monofluorophosphate, Sodium Pyrophosphate [Chất phụ gia khác] Glycerin, Sodium Saccharin, Cellulose Gum, Sodium Laureth Sulfate, Sorbitol Solution, Sucralose, nước tinh khiết, Zeolite*Hydrated Silicon Dioxide*Titanium Dioxide*L-mentol
*chiết xuất bạc hà chiết xuất bạch đàn, hương liệu
MEDIAN Dental IQ Tartar Care White Toothpaste 120g
[Thành phần đặc hiệu] chiết xuất trà xanh cô đặc, Dental Type Silica, Sodium Monofluorophosphate, Sodium Pyrophosphate [Chất phụ gia khác] L-Mentol, DL-Malic Acid, Sodium Saccharin, Titanium Dioxide, Cellulose Gum, Sodium Laureth Sulfate, Sorbitol Solution, Sucralose, nước tinh khiết, Zeolite*Silica, Ground Calcium Carbonate, Iron Blue Coated Titanated Mica, hương liệu
MEDIAN Dental IQ Tartar Care Gum Protection Toothpaste 120g
[Thành phần đặc hiệu] chiết xuất trà xanh cô đặc, Dental Type Silica, Sodium Monofluorophosphate, Sodium Pyrophosphaten [Chất phụ gia khác] Glycerin, Sodium Saccharin, Titanium Dioxide, Cellulose Gum, Sodium Laureth Sulfate, Sorbitol Solution, Sucralose, Silica, nước tinh khiết, Ground Calcium Carbonate, hương liệu ","


Làm ướt bàn chải.


Lấy một lượng kem vừa đủ cho lên bàn chải rồi đánh răng.


Súc miệng lại thật sạch với nước.

 ",,,
https://hasaki.vn/san-pham/combo-2-nuoc-suc-mieng-listerine-hoi-tho-thom-mat-750ml-chai-89455.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-nuoc-suc-mieng-listerine-hoi-tho-thom-mat-750ml-chai-1708919978_img_385x385_622873_fit_center.jpg,294100026,Combo 2 Nước Súc Miệng Listerine Hơi Thở Thơm Mát 750ml/Chai,323,258,173.000 ₫,229.000 ₫,56.000 ₫,-24%,4.9,8,12,,Listerine,Mỹ,,Tất cả,"
4 tinh dầu tự nhiên:

Khuynh Diệp: tính sát khuẩn cao
Cỏ Xạ Hương: kháng khuẩn hiệu quả
Bạc Hà: diệt khuẩn vượt trội
Methyl Salicylate: Hương thơm the mát
 ","


Sau khi đánh răng, súc miệng với 20ml Listerine trong 60 giây rồi nhổ đi.


Không được nuốt.


Được khuyên sử dụng hàng ngày.

 ",Vị Cay,,
https://hasaki.vn/san-pham/ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-xanh-ombre-98135.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205688-1688030597_img_385x385_622873_fit_center.jpg,422205688,Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Xanh Ombre,323,60,689.000 ₫,1.300.000 ₫,611.000 ₫,-47%,5.0,4,29,8934839127435,P/S,Mỹ,China,Tất cả,"
Nội dung đang được cập nhật ","


Gắn đầu chải khớp với phần thân chải.


Đặt đầu chải nghiêng gốc 45 độ so với viền nướu và chọn chế độ chải.


Chải trong 2 phút. Sau mỗi 30 giây, bàn chải sẽ tạm ngừng rung để bạn di chuyển sang vị trí khác trong khoang miệng.

 ",Ngày Và Đêm,,
https://hasaki.vn/san-pham/nuoc-suc-mieng-listerine-tra-xanh-ngua-sau-rang-750ml-87329.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-suc-mieng-listerine-tra-xanh-ngua-sau-rang-750ml_6n94BDPrZ1q21tUM_img_385x385_622873_fit_center.png,294100018,Nước Súc Miệng Listerine Trà Xanh Ngừa Sâu Răng 750ml,323,304,120.000 ₫,187.000 ₫,67.000 ₫,-36%,4.8,6,10,8850007812524,Listerine,Mỹ,,Tất cả,"
Thành phần đầy đủ:
Water, Sorbitol, Propylene Glycol, Sodium Lauryl Sulfate, Poloxamer 407, Flavour, Eucalyptol, Benzoic Acid, Sodium Benzoate, Methyl Salicylate, Thymol, Sodium Fluoride, Menthol, Sodium Saccharin, Sucralose, Camellia Sinensis (Green Tea) Leaf Extract, Cl 47005, Cl 42053. ","


Sau khi đánh răng, súc miệng với 20ml Listerine trong 60 giây rồi nhổ đi.


Không được nuốt.


Được khuyên sử dụng hàng ngày.

 ",Vị Không Cay,,
https://hasaki.vn/san-pham/kem-danh-rang-marvis-smokers-cho-nguoi-hut-thuoc-85ml-113071.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422215455-1696847259_img_385x385_622873_fit_center.jpg,422215455,Kem Đánh Răng Marvis Màu Bạc Cho Người Hút Thuốc 85ml,323,178,189.000 ₫,279.000 ₫,90.000 ₫,-32%,4.8,13,12,8004395111817,Marvis,Ý,,Tất cả,"
Thành phần chi tiết:
1. Marvis Whitening Mint (Màu bạc)
Glycerin, Aluminum Hydroxide, Aqua (Water/Eau), Titanium Dioxide, Sodium Lauryl Sulfate, Silica, Aroma (Flavor), Cellulose Gum, Sodium Saccharin, Eugenol, Limonene, Benzyl Alcohol, Sodium Citrate, Citric Acid
2. Marvis Classic Strong Mint (Màu xanh lá)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (AROMA MENTA TP 14263), Cellulose Gum, Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
3. Marvis Jasmin Mint (Màu tím)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (AROMA MENTA GELSOMINO 96519961), Cellulose Gum, Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
4. Marvis Amarelli Licorice Mint (Màu đen)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (aroma licorice mint norm opt eaj56087/00), Xylitol, Sodium Lauryl Sulfate, Cellulose Gum, Tit anium Diox ide , Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
5. Marvis Aquatic Mint (Màu xanh dương)
Glycerin, Aluminum Hydroxide, Aqua, Silica, Aroma (aroma menta aquatic 96534797), Cellulose Gum,Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate
6. Marvis Cinnamon Mint (Màu đỏ)
Glycerin, Aluminum Hydroxide ,Aqua, Silica, Aroma (aroma tp14159 norm opt 2 Eak57344/00), Xylitol, Sodium Lauryl Sulfate, Cellulose Gum, Titanium Dioxide, Sodium Saccharin, Sodium Fluoride, Citric Acid, Sodium Citrate.
7. Marvis Smokers Whitening Mint (Cho người hút thuốc)
Glycerin, Aluminum Hydroxide, Aqua, Hydrated Silica (SORBOSIL AC 35, Hydrated Silica (SORBOSIL AC 23), PVP, Silica, Aroma (AROMA MENTA TP 14263), Xylitol, Sodium Lauryl Sulfate, Titanium Dioxide, Cellulose Gum, Trisodium Phosphate, Sodium Saccharin, Sodium Fluoride.
 ","


Làm ướt miệng và răng bằng nước hoặc nước ấm. Tuyệt hơn khi dùng nước muối.


Cho một ít kem đánh răng Marvis ra bàn chải đánh răng của bạn.


Sau đó đánh đều các vị trí quan trọng của hàm trên và dưới.


Súc miệng sạch với nước hoặc nước ấm.

 ",,,
https://hasaki.vn/san-pham/nuoc-suc-mieng-propolinse-pure-chiet-xuat-sap-ong-600ml-91933.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-suc-mieng-propolinse-pure-chiet-xuat-sap-ong-600ml-1714376125_img_385x385_622873_fit_center.jpg,422201738,Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml,323,191,149.000 ₫,235.000 ₫,86.000 ₫,-37%,4.7,26,29,4966680247004,Propolinse,Nhật Bản,Korea,Tất cả,"
1. Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml
Thành phần đầy đủ:
Water, Glycerin (Wetting Agent), Peg-60 Hydrogenated Castor Oil (Solubilizer), Propolis Extract, Tea Leaf Extract, Xylitol, Menthol, Saccharin Na (Flavor), Citric Acid, Citric Acid Na, Malic Acid (Ph) Regulator), Caramel (Colorant), Sodium Benzoate (Preservative), Fragrance
2. Nước Súc Miệng Propolinse Fresh Cho Người Hút Thuốc Lá 600ml
Thành phần đầy đủ:
Water, Ethanol (Solvent), Glycerin (Wetting Agent), Peg-60 Hydrogenated Castor Oil (Solubilizer), Propolis Extract, Tea Leaf Extract, Eucalyptus, Otane Carrot Root Extract, Sap Bark / Sap Extract, Xylitol, Menthol, Saccharin Na (Flavoring Agent), Citric Acid, Na Citrate, Malic Acid (Ph Adjuster), Caramel (Coloring Agent), Methylparaben (Preservative), Fragrance
3. Nước Súc Miệng Propolinse Sakura Chiết Xuất Hoa Anh Đào 600ml
Thành phần đầy đủ:
Water, Glycerin (Wetting Agent), Peg-60 Hydrogenated Castor Oil (Solubilizer), Propolis Extract, Tea Leaf Extract, Yamazakura Flower Extract, Xylitol, Menthol, Saccharin Na (Flavoring Agent), Citric Acid, Citrate Na Acid / Malic Acid (Ph Adjuster), Caramel (Colorant), Na Benzoate (Preservative), Fragrance
4. Nước Súc Miệng Propolinse Dental Whitening Sáng Răng 600ml
Thành phần đầy đủ:
Water, Glycerin (Wetting Agent), Ethanol (Solvent), Peg-60 Hydrogenated Castor Oil (Solubilizer), Sodium Hydrogen Carbonate (Cleaning Agent), Phytic Acid (Cleaning Aid), Propolis Extract, Xylitol, Mentor, Saccharin Na (Flavoring Agent), Methylparaben, Cetylpyridinium Chloride (Preservative), Fragrance
5. Nước Súc Miệng Propolinse Green Tea Từ Trà Xanh 600ml
Thành phần đầy đủ:
Water, Glycerin (Wetting Agent), Ethanol (Solvent), Peg-60 Hydrogenated Castor Oil (Solubilizer), Cha Leaf Extract, Propolis Extract, Xylitol, Mentor / Saccharin Na (Flavoring Agent), Citric Acid / Na Citrate / Malic Acid (Ph Adjuster), Caramel (Coloring Agent), Methylparaben (Preservative), Fragrance ","


Lấy 1 lượng súc miệng vừa đủ ngâm khoảng 20-30 giây. 


Không được nuốt nước súc miệng. 


Mỗi ngày nên dùng 1-2 lần.

 ",Vị Cay,,
https://hasaki.vn/san-pham/ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-den-98141.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422205686-1688030043_img_385x385_622873_fit_center.jpg,422205686,Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Đen,323,28,689.000 ₫,1.300.000 ₫,611.000 ₫,-47%,5.0,4,29,8934839127411,P/S,Mỹ,China,Tất cả,"
Nội dung đang được cập nhật ","


Gắn đầu chải khớp với phần thân chải.


Đặt đầu chải nghiêng gốc 45 độ so với viền nướu và chọn chế độ chải.


Chải trong 2 phút. Sau mỗi 30 giây, bàn chải sẽ tạm ngừng rung để bạn di chuyển sang vị trí khác trong khoang miệng.

 ",Ngày Và Đêm,,
https://hasaki.vn/san-pham/kem-danh-rang-crest-lam-sang-tac-dong-sach-sau-153g-108280.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-crest-lam-sang-tac-dong-sach-sau-153g-1719475978_img_385x385_622873_fit_center.jpg,422212637,"Kem Đánh Răng Crest Làm Sáng, Tác Động Sạch Sâu 153g",323,193,92.000 ₫,113.000 ₫,21.000 ₫,-19%,5.0,1,0,037000907299,Crest,Mỹ,United States,Tất cả,"
Water, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Zinc Citrate, Carrageenan, Sodium Saccharin, Sodium Citrate, Polysorbate 80, Titanium Dioxide, Blue 1 ","


Chải răng ít nhất ngày 2 lần hoặc theo hướng dẫn của nha sĩ.


Dùng đủ ít nhất 1g kem đánh răng mỗi lần dùng.


Lưu ý:


Trẻ em dưới 6 tuổi chỉ sử dụng một lượng nhỏ bằng hạt đậu dưới sự hướng dẫn của người lớn. 


Tham khảo ý kiến của bác sĩ khi nuốt phải.

 ",,,
https://hasaki.vn/san-pham/combo-2-nuoc-suc-mieng-listerine-giup-rang-trang-sang-750ml-122632.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-nuoc-suc-mieng-listerine-giup-rang-trang-sang-750ml-1717038457_img_385x385_622873_fit_center.jpg,422220472,Combo 2 Nước Súc Miệng Listerine Giúp Răng Trắng Sáng 750ml,323,92,186.000 ₫,374.000 ₫,188.000 ₫,-50%,4.3,4,13,,Listerine,Mỹ,,Tất cả,"
Thành phần hoạt tính: Sodium Fluoride 0.02%
Các thành phần khác: Water, alcohol (8%), hydrogen peroxide, poloxamer 407, sodium saccharin, sucralose, menthol, phosphoric acid, disodium phosphate, flavor. ","


Sau khi đánh răng, súc miệng với 20ml Listerine trong 60 giây rồi nhổ đi. 


Không được nuốt. 


Được khuyên sử dụng hàng ngày. 


Không dùng cho trẻ em dưới 12 tuổi.

 ",Vị Cay,,
