Liên kết,Ảnh sản phẩm,Mã sản phẩm,Tên sản phẩm,Mã danh mục,Số sản phẩm đã bán,Giá,Giá thị trường,Tiết kiệm,Phần trăm giảm,Đánh giá trung bình,Số lượt đánh giá,Số lượt hỏi đáp,Barcode,Thương Hiệu,Xuất xứ thương hiệu,Nơi sản xuất,Loại da,Giới tính,Vấn đề về da,Thành phần sản phẩm,Hướng dẫn sử dụng,Đặc Tính
https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml-102959.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml_rxgT1shKhXRXgSHp_img_385x385_622873_fit_center.png,422208973,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,19,2.200,340.000 ₫,455.000 ₫,115.000 ₫,-25%,4.9,63,224,3337875597357,CeraVe,Mỹ,,"Da dầu, hỗn hợp dầu",Tất cả,"Da dầu, lỗ chân lông to","
1. Sữa Rửa Mặt Cerave Sạch Sâu Cho Da Thường Đến Da Dầu
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Niacinamide: giúp làm dịu, nuôi dưỡng, củng cố hàng rào da.


Thành phần đầy đủ: 
Purified Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Lauroyl Sarcosinate, Peg-150 Pentaerythrityl Tetrastearate (And) Peg-6 Caprylic/Capric Glycerides, Niacinamide, Propylene Glycol, Sodium Methyl Cocoyl Taurate, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Sodium Chloride, Phytosphingosine, Citric Acid, Edetate Disodium Dihydrate, Sodium Lauroyl Lactylate, Methylparaben, Propylparaben, Carbomer, Xanthan Gum. 
2. Sữa Rửa Mặt Cerave Cho Da Thường Đến Khô
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Công nghệ MVE độc quyền: khoá ẩm cho da suốt 24 giờ. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Thành phần đầy đủ: 
Purified Water, Glycerin, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium Edta, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.  ","


Làm ướt da.


Mát xa sữa rửa mặt theo chuyển động tròn. 


Nhẹ nhàng rửa sạch lại với nước.

 ",
https://hasaki.vn/san-pham/gel-rua-mat-cosrx-tram-tra-0-5-bha-co-do-ph-thap-150ml-96523.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-cosrx-tram-tra-0-5-bha-co-do-ph-thap-150ml_KkyotGcgSaF6o4Wz_img_385x385_622873_fit_center.png,422204795,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml",19,2.599,125.000 ₫,339.000 ₫,214.000 ₫,-63%,4.8,176,148,8809416470511,Cosrx,Hàn Quốc,Korea,Da thường/Mọi loại da,Tất cả,,"
Thành phần chính:


Độ pH lý tưởng 4.5 - 5.5: giữ độ ẩm cân bằng tự nhiên cho da, không gây khô căng da sau khi rửa mặt.


Chiết xuất tinh dầu tràm trà kết hợp với 0,5% BHA tự nhiên: kháng khuẩn, loại bỏ mụn, tẩy tế bào chết nhẹ nhàng mang lại làn da sạch thoáng.


Allantoin: làm dịu, dưỡng ẩm làn da giữ da mềm mại.


Thành phần đầy đủ: 
Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract. Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract. Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract. Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol. Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA ","


Sử dụng sản phẩm Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 2 lần/ngày vào buổi sáng và buổi tối, sau bước tẩy trang.


Làm ướt vùng da mặt, sau đó lấy một lượng vừa đủ Gel Rửa Mặt Cosrx cho vào lòng bàn tay và tạo bọt.


Massage nhẹ nhàng lên mặt để bắt đầu quá trình làm sạch da (tránh vùng mắt và miệng).


Rửa sạch da lại bằng nước sạch hoặc nước ấm.




Tiếp tục với các sản phẩm tiếp theo trong chu trình dưỡng da.

 ",
https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml-moi-103543.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml-moi_fXxh2L4cJCXWMJK2_img_385x385_622873_fit_center.png,422209322,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới),19,772,329.000 ₫,419.000 ₫,90.000 ₫,-21%,4.5,31,96,3499320013048,Cetaphil,Canada,,Da thường/Mọi loại da,Tất cả,"Da nhạy cảm, kích ứng, mẩn đỏ","
Thành phần chính:



Glycerin giúp ngăn ngừa hiện tượng khô da.


Niacinamide (B3) giúp củng cố hàng rào bảo vệ da.


Panthenol (B5) giúp làm dịu và phục hồi làn da.



Thành phần chi tiết:
Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid. FIL.1747.V00 ","


Hướng dẫn rửa mặt khô: Lấy một lượng vừa đủ sữa rửa mặt thoa lên da và xoa nhẹ nhàng. Làm sạch phần sữa rửa mặt thừa bằng khăn mềm, để lại trên da cảm giác sạch nhẹ nhàng mà vẫn mịn màng.


Hướng dẫn rửa mặt với nước: Thoa đều sữa rửa mặt lên da và massage nhẹ nhàng. Sau đó rửa sạch lại với nước.


CHU TRÌNH CHĂM SÓC DA NHẠY CẢM
1. Rửa mặt, làm sạch da dịu nhẹ vào mỗi buổi sáng và tối
Thích hợp sử dụng cho mọi loại da, kể cả da nhạy cảm, Sữa rửa mặt dịu nhẹ Cetaphil Gentle Skin Cleanser giúp loại bỏ bụi bẩn, lớp trang điểm và các tạp chất một cách hiệu quả, đồng thời vẫn duy trì màng ẩm tự nhiên của da.
2. Khóa ẩm trên da với kem dưỡng ẩm ban ngày
Sau khi rửa mặt, hãy nhanh chóng thoa Kem dưỡng ẩm khi da vẫn còn ẩm để da dễ dàng ngậm nước và có tác dụng khoá ẩm dài lâu.
Vào ban ngày, nên sử dụng Kem dưỡng ẩm có chứa SPF để bảo vệ da mặt dưới ánh nắng. Kem dưỡng ẩm da mặt hàng ngày Daily Facial Moisturizer với SPF 15 vừa mang đến khả năng dưỡng ẩm mịn mượt giúp khoá chặt độ ẩm cần thiết để nuôi dưỡng làn da, vừa giúp bảo vệ da các khỏi tác hại từ tia cực tím UVA và UVB.
3. Sử dụng Kem dưỡng ẩm ban đêm để cấp ẩm, tái tạo & phục hồi cho da
Đừng quên sử dụng Kem dưỡng ẩm ban đêm Cetaphil Moisturizing Cream trước khi đi ngủ nhé. Với thành phần axit hyaluronic có trong sản phẩm sẽ giúp tăng khả năng trữ nước và dưỡng ẩm cho da, bảo vệ da không bị khô suốt đêm cho da luôn trông thật tươi tắn và rạng rỡ vào sáng hôm sau. ",Không Xà Phòng
https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml-102957.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml_mKEyNSdr2TN3H9uE_img_385x385_622873_fit_center.png,422208972,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 236ml,19,958,259.000 ₫,340.000 ₫,81.000 ₫,-24%,4.9,63,224,3337875597197,CeraVe,Mỹ,,"Da dầu, hỗn hợp dầu",Tất cả,"Da dầu, lỗ chân lông to","
1. Sữa Rửa Mặt Cerave Sạch Sâu Cho Da Thường Đến Da Dầu
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Niacinamide: giúp làm dịu, nuôi dưỡng, củng cố hàng rào da.


Thành phần đầy đủ: 
Purified Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Lauroyl Sarcosinate, Peg-150 Pentaerythrityl Tetrastearate (And) Peg-6 Caprylic/Capric Glycerides, Niacinamide, Propylene Glycol, Sodium Methyl Cocoyl Taurate, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Sodium Chloride, Phytosphingosine, Citric Acid, Edetate Disodium Dihydrate, Sodium Lauroyl Lactylate, Methylparaben, Propylparaben, Carbomer, Xanthan Gum. 
2. Sữa Rửa Mặt Cerave Cho Da Thường Đến Khô
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Công nghệ MVE độc quyền: khoá ẩm cho da suốt 24 giờ. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Thành phần đầy đủ: 
Purified Water, Glycerin, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium Edta, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.  ","


Làm ướt da.


Mát xa sữa rửa mặt theo chuyển động tròn. 


Nhẹ nhàng rửa sạch lại với nước.

 ",
https://hasaki.vn/san-pham/gel-rua-mat-svr-khong-chua-xa-phong-cho-da-dau-400ml-90639.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-svr-khong-chua-xa-phong-cho-da-dau-400ml_YvD1sgdQt3383HMW_img_385x385_622873_fit_center.png,422200632,Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 400ml,19,475,417.000 ₫,555.000 ₫,138.000 ₫,-25%,4.7,43,143,3662361003402,SVR,Pháp,France,"Da dầu, hỗn hợp dầu",Tất cả,"Da dầu, lỗ chân lông to","
Thành phần chính: 


Gluconolacton: làm sạch và làm thông thoáng lỗ chân lông.


Salicylic acid: tẩy tế bào chết, se khít lỗ chân lông, điều tiết bã nhờn dư thừa và làm giảm các khuyết điểm.


Các tác nhân làm sạch dịu nhẹ giúp làm sạch hiệu quả trong khi vẫn giữ vững sự cân bằng cho làn da nhạy cảm.


Thành phần chi tiết: 
Aqua (Purified Water), Disodium Laureth Sulfosuccinate, Coco-Betaine, Peg-7 Glyceryl Cocoate, Glycerin, Sodium Laureth Sulfate, Gluconolactone, Peg-120 Methyl Glucose Dioleate, Calcium Gluconate, Sarcosine, Butylene Glycol, Lactic Acid, Pentylene Gly ","


Sử dụng mỗi ngày 2 lần vào buổi sáng và tối.


Cho lượng gel rửa mặt bằng khoảng 1 đồng xu ra tay, tạo bọt và massage lên da ướt, sau đó rửa sạch. 


Vào buổi tối, kết hợp thêm với Nước Tẩy Trang SVR Sebiaclear Eau Micellaire để tẩy trang, giúp làm sạch sâu da.

 ",Ngày Và Đêm
https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-400ml-68810.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-400ml_rDFEXiMVd3ucRgV6_img_385x385_622873_fit_center.png,204900056,"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 400ml",19,375,491.000 ₫,625.000 ₫,134.000 ₫,-21%,4.7,108,305,3337872411991,La Roche-Posay,Pháp,France,"Da dầu, hỗn hợp dầu",Tất cả,"Da dầu, lỗ chân lông to","
Thành phần chính: 


Nước khoáng thiên nhiên La Roche-Posay: có tác dụng làm dịu da và giảm kích ứng.


ZinC PCA: giúp điều tiết lượng dầu tiết ra trên da, từ đó kiểm soát bóng dầu và bã nhờn dư thừa hiệu quả, giảm hình thành mụn đầu đen.


Không chứa Paraben, chất tạo màu, xà phòng, cồn, an toàn cho làn da nhạy cảm.


Công thức không chứa dầu (oil-free) nên rất thích hợp cho da dầu.


Thành phần chi tiết: 
Aqua / Water, Sodium Laureth Sulfate, Peg-8, Coco-Betaine, Hexylene Glycol, Sodium Chloride, Peg-120 Methyl Glucose Dioleate, Zinc Pca, Sodium Hydroxide, Citric Acid, Sodium Benzoate, Phenoxyethanol, Caprylyl Glycol, Parfum / Fragrance ","


Làm ẩm da với nước ấm, cho một lượng vừa đủ sản phẩm ra tay, tạo bọt, thoa sản phẩm lên mặt, tránh vùng da quanh mắt.


Massage nhẹ nhàng, sau đó rửa sạch lại với nước và thấm khô da.


Sử dụng hằng ngày vào buổi sáng và tối.


Lưu ý: 


Tránh tiếp xúc với mắt.


Trong quá trình sử dụng nếu thấy da có các biểu hiện khác thường như: xuất hiện các vết đỏ, ngứa, hay bị kích ứng thì phải ngưng sử dụng ngay và hỏi ý kiến tư vấn từ chuyên gia da liễu.

 ",Ngày Và Đêm
https://hasaki.vn/san-pham/gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml-71263.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml_vjoVmMbC2HHcN1H9_img_385x385_622873_fit_center.png,211300007,Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,19,1.849,95.000 ₫,132.000 ₫,37.000 ₫,-28%,4.7,89,263,5011451103863,Simple,Anh,Poland,Da nhạy cảm,Tất cả,"Da nhạy cảm, kích ứng, mẩn đỏ","
Thành phần chính:


Nước tinh khiết lọc 3 lần: hỗ trợ làm dịu làn da nhạy cảm, kích ứng.


Pro-Vitamin B5 (Panthenol): giúp phục hồi da, đặc biệt các vùng da bị sần sùi, khô ráp, giúp da mềm và mịn màng hơn, nuôi dưỡng da từ sâu bên trong.


Vitamin E: dưỡng ẩm và chống oxy hóa.


Bisalolol: chiết xuất từ hoa cúc Chamomile có đặc tính kháng viêm, kháng khuẩn, ngăn ngừa kích ứng và giúp làm dịu làn da bị tổn thương, chống oxy hóa, dưỡng da mịn màng.


Thành phần chi tiết: 
Aqua, Cocamidopropyl Betaine, Propylene Glycol, Hydroxypropyl Methylcellulose, Panthenol, Disodium EDTA, Hydroxypropyl Cyclodextrin, Iodopropynyl Butylcarbamate, Pantolactone, Phenoxyethanol, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Tocopheryl Acetate. ","


Nên sử dụng sữa rửa mặt 2 lần mỗi ngày vào buổi sáng và tối.


Sau khi tẩy trang, làm ướt mặt với nước, cho một lượng nhỏ sữa rửa mặt vào lòng bàn tay và tạo bọt, sau đó massage nhẹ nhàng toàn bộ khuôn mặt rồi rửa sạch mặt lại với nước ấm. Tránh để sữa rửa mặt dính vào vùng mắt.


Sau khi rửa mặt dùng toner để cân bằng da và sử dụng các bước tiếp theo của chu trình dưỡng da.

 ",Không Xà Phòng
https://hasaki.vn/san-pham/kem-rua-mat-hada-labo-duong-am-toi-uu-80g-4359.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-rua-mat-hada-labo-duong-am-toi-uu-80g_R8bRwt9WAjpEAxhj_img_385x385_622873_fit_center.png,224100009,Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,19,2.032,69.000 ₫,83.000 ₫,14.000 ₫,-17%,4.8,81,145,8935006537675,Hada Labo,Nhật Bản,Vietnam,"Da khô, hỗn hợp khô",Tất cả,"Da khô, mất nước","
Thành phần chính:


Hyaluronic Acid: 1 gram Hyaluronic Acid có khả năng ngậm hàng triệu phân tử nước, tạo màng dưỡng ẩm bảo vệ da.


SHA: Ngậm nước gấp 2 lần HA, nhẹ nhàng thấm sâu và giữ nước lâu hơn.


NANO HA: Có kích thước phân tử cực nhỏ, chỉ bằng 1/20 HA, dễ dàng len lỏi và dưỡng ẩm cho lớp tế bào da sâu nhất.


Công nghệ Amino Acid: Giúp nhẹ nhàng làm sạch da, loại bỏ bụi bẩn, bã nhờn, tế bào chết ẩn sâu trong lỗ chân lông.


Thành phần chi tiết:
Water, Glycerin, Sodium Cocoyl Glycinate, Butylene Glycol, Cocamidopropyl Betaine, Hydroxypropyl Starch Phosphate, PEG-20M, Lauryl Glucoside, Sodium Lauroyl Aspartate, Potassium Cocoyl Glycinate, Sodium Stearoyl Glutamate, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Cananga Odorata (Ylang Ylang) Flower Oil, Polyquaternium-7, Polyquaternium-52, Hydroxypropyl Methylcellulose, PEG-32, Citric Acid, Lauric Acid, Stearic Acid, Glyceryl Stearate SE, PEG-60 Glyceryl Stearate, BHT, Disodium EDTA, Methylparaben, Propylparaben ","


Bước 1: Lấy lượng Kem rửa mặt bằng hạt đậu.


Bước 2: Thêm nước và tạo bọt trong lòng bàn tay.


Bước 3: Áp bọt lên mặt và massage nhẹ nhàng theo chuyển động tròn từ dưới lên trên, từ trong ra ngoài.


Bước 4: Rửa thật sạch với nước.


Sử dụng 2 lần sáng và tối.

 ",Ngày Và Đêm
https://hasaki.vn/san-pham/sua-rua-mat-cerave-cho-da-thuong-den-kho-473ml-102963.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-cho-da-thuong-den-kho-473ml_zX1CWqLsvHWmaE6i_img_385x385_622873_fit_center.png,422208975,Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 473ml,19,395,350.000 ₫,440.000 ₫,90.000 ₫,-20%,4.9,63,224,3337875597333,CeraVe,Mỹ,,"Da khô, hỗn hợp khô",Tất cả,"Da khô, mất nước","
1. Sữa Rửa Mặt Cerave Sạch Sâu Cho Da Thường Đến Da Dầu
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Niacinamide: giúp làm dịu, nuôi dưỡng, củng cố hàng rào da.


Thành phần đầy đủ: 
Purified Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Lauroyl Sarcosinate, Peg-150 Pentaerythrityl Tetrastearate (And) Peg-6 Caprylic/Capric Glycerides, Niacinamide, Propylene Glycol, Sodium Methyl Cocoyl Taurate, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Sodium Chloride, Phytosphingosine, Citric Acid, Edetate Disodium Dihydrate, Sodium Lauroyl Lactylate, Methylparaben, Propylparaben, Carbomer, Xanthan Gum. 
2. Sữa Rửa Mặt Cerave Cho Da Thường Đến Khô
Thành phần chính: 


3 loại Ceramides (1, 3, 6-II): thiết yếu giúp khôi phục hàng rào độ ẩm da. 


Công nghệ MVE độc quyền: khoá ẩm cho da suốt 24 giờ. 


Hyaluronic Acid: giúp duy trì độ ẩm tự nhiên của da.


Thành phần đầy đủ: 
Purified Water, Glycerin, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceramide 3, Ceramide 6-Ii, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium Edta, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.  ","


Làm ướt da.


Mát xa sữa rửa mặt theo chuyển động tròn. 


Nhẹ nhàng rửa sạch lại với nước.

 ",
https://hasaki.vn/san-pham/combo-3-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-50ml-106275.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-3-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-50ml-1672974239_img_385x385_622873_fit_center.jpg,422210980,Combo 3 Gel Rửa Mặt La Roche-Posay Cho Da Dầu Nhạy Cảm 50ml,19,908,139.000 ₫,630.000 ₫,491.000 ₫,-78%,4.7,108,305,,La Roche-Posay,Pháp,France,"Da dầu, hỗn hợp dầu",Tất cả,"Da dầu, lỗ chân lông to","
Thành phần chính: 


Nước khoáng thiên nhiên La Roche-Posay: có tác dụng làm dịu da và giảm kích ứng.


ZinC PCA: giúp điều tiết lượng dầu tiết ra trên da, từ đó kiểm soát bóng dầu và bã nhờn dư thừa hiệu quả, giảm hình thành mụn đầu đen.


Không chứa Paraben, chất tạo màu, xà phòng, cồn, an toàn cho làn da nhạy cảm.


Công thức không chứa dầu (oil-free) nên rất thích hợp cho da dầu.


Thành phần chi tiết: 
Aqua / Water, Sodium Laureth Sulfate, Peg-8, Coco-Betaine, Hexylene Glycol, Sodium Chloride, Peg-120 Methyl Glucose Dioleate, Zinc Pca, Sodium Hydroxide, Citric Acid, Sodium Benzoate, Phenoxyethanol, Caprylyl Glycol, Parfum / Fragrance ","


Làm ẩm da với nước ấm, cho một lượng vừa đủ sản phẩm ra tay, tạo bọt, thoa sản phẩm lên mặt, tránh vùng da quanh mắt.


Massage nhẹ nhàng, sau đó rửa sạch lại với nước và thấm khô da.


Sử dụng hằng ngày vào buổi sáng và tối.


Lưu ý: 


Tránh tiếp xúc với mắt.


Trong quá trình sử dụng nếu thấy da có các biểu hiện khác thường như: xuất hiện các vết đỏ, ngứa, hay bị kích ứng thì phải ngưng sử dụng ngay và hỏi ý kiến tư vấn từ chuyên gia da liễu.

 ",
