Liên kết,Ảnh sản phẩm,Mã sản phẩm,Tên sản phẩm,Mã danh mục,Số sản phẩm đã bán,Giá,Giá thị trường,Tiết kiệm,Phần trăm giảm,Đánh giá trung bình,Số lượt đánh giá,Số lượt hỏi đáp,Barcode,Thương Hiệu,Xuất xứ thương hiệu,Nơi sản xuất,Đặc Tính,Giới tính,Thành phần sản phẩm,Hướng dẫn sử dụng,Loại da,Vấn đề về da
https://hasaki.vn/san-pham/son-duong-moi-khong-mau-dhc-ho-tro-giam-tham-moi-1-5g-6710.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-son-duong-moi-khong-mau-dhc-ho-tro-giam-tham-moi-1-5g_RigkWwphBRqFNh1m_img_385x385_622873_fit_center.png,232100001,Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g,24,727,159.000 ₫,199.000 ₫,40.000 ₫,-20%,4.7,45,77,4511413503997,DHC,Nhật Bản,Japan,Không Màu,Tất cả,"


Thành phần chính:  
Dầu ôliu: Giàu vitamin E giúp nuôi dưỡng môi ẩm mượt, mềm mại đầy sức sống
Thành phần chi tiết: 
Lanolin Oil, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, Lanolin, Beeswax/Cera Alba/Cire D’abeille, Stearic Acid, Olea Europaea (Olive) Fruit Oil, Squalane, Pentylene Glycol, Panax Ginseng Root Extract, Aloe Barbadensis Leaf Extract, Tocopherol, Phenoxyethanol, Stearyl Glycyrrhetinate.

 ","




Thoa nhẹ nhàng son dưỡng DHC lên môi để dưỡng ẩm và làm mềm môi.


Bạn cũng có thể dùng son dưỡng môi DHC như một lớp son nền trước khi tô son màu, vừa giúp son lên màu đẹp lại vừa dưỡng ẩm và bảo vệ đôi môi không bị bong tróc hay thâm sạm.


Lưu ý:


Nên tẩy tế bào chết và lau sạch lớp son cũ trên môi trước khi thoa son dưỡng môi DHC để giúp môi mềm, thẩm thấu dưỡng chất tốt hơn.


Không để son dưỡng môi DHC trực tiếp dưới ánh nắng mặt trời hoặc ở nơi có nhiệt độ cao (đặc biệt là cốp xe) để tránh làm son bị chảy, hỏng.



 ",,
https://hasaki.vn/san-pham/sap-duong-moi-hong-xinh-vaseline-7g-1787.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sap-duong-moi-hong-xinh-vaseline-7g_ffTNCAVWcWd12V83_img_385x385_622873_fit_center.png,100540031,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,24,1.572,55.000 ₫,82.000 ₫,27.000 ₫,-33%,4.7,63,154,305210231597,Vaseline,Mỹ,United States,Có Màu ,Tất cả,"
Nội dung đang được cập nhật ","


Khi môi các bạn bi khô nên sử dụng thường xuyên ngày và đêm đều được.


Dùng son dưỡng trước sau đó tô son môi vào để có một đôi môi quyến rũ, sexy như ý.

 ",,
https://hasaki.vn/san-pham/son-kem-li-black-rouge-a12-dashed-brown-nau-gach-4-5g-103777.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-son-kem-li-black-rouge-a12-dashed-brown-nau-gach-4-5g_NuUqSuEcK8Js8H2A_img_385x385_622873_fit_center.png,422209457,Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g,24,345,164.000 ₫,298.000 ₫,134.000 ₫,-45%,4.6,5,7,8809464341559,Black Rouge,Hàn Quốc,Korea,Dạng Lì,Tất cả,"
1. A09 Sweet Cinnamon
Thành phần đầy đủ:
Dimethicone, dimethicone/vinyldimethicone crosspolymer, purified water, polyglyceryl-2 isostearate, isododecane, polymethylsilsesquioxane, cetylPG/PPG-10/1 die Methicone, polymethyl methacrylate, synthetic fluorophlogopite, silica, cyclopentasiloxane, trimethylsiloxysilicate, 1,2-hexanediol, VP/hexadecene copolymer, sorbitane sesquioleate, PEG-60 Hydrogenated Castor Oil, Disteadimonium Hectorite, Silica Dimethylsilylate, Palmitic Acid, Stearic Acid, Propylene Carbonate, Ethylhexyl Glycerin, Phenoxyethanol, Rosehip Fruit Oil, Shea Butter , Caprylic/Capric Triglyceride, Butylene Glycol, Propylene Glycol, Honey, Hydrogenated Lecithin, Ceramide NP, Red Iron Oxide, Titanium Dioxide, Red No. 202, Yellow No. 5, Yellow Iron Oxide, Black Iron Oxide, Spices
2. A10 Red Berry
Thành phần đầy đủ:
Dimethicone, Dimethicone/Vinyldimethicone Crosspolymer, Purified Water, Polyglyceryl-2 Isostearate, Isododecane, Polymethylsilsesquioxane, Cetylpg/Ppg-10/1 Die Methicone, Polymethyl Methacrylate, Synthetic Fluorophlogopite, Silica, Cyclopentasiloxane, Trimethylsiloxysilicate, 1,2-Hexanediol, Vp/Hexadecene Copolymer, Sorbitane Sesquioleate, Peg-60 Hydrogenated Castor Oil, Disteadimonium Hectorite, Silica Dimethylsilylate, Palmitic Acid, Stearic Acid, Propylene Carbonate, Ethylhexyl Glycerin, Phenoxyethanol, Rosehip Fruit Oil, Shea Butter , Caprylic/Capric Triglyceride, Butylene Glycol, Propylene Glycol, Honey, Hydrogenated Lecithin, Ceramide Np, Red Iron Oxide, Titanium Dioxide, Red No. 102, Yellow No. 5, Red No. 104 (1 ), Red No.201, Black Iron Oxide, Black Iron Oxide, Fragrance
3. A11 Tanned Camellia
Thành phần đầy đủ:
Dimethicone, Dimethicone/Vinyldimethicone Crosspolymer, Purified Water, Polyglyceryl-2 Isostearate, Isododecane, Polymethylsilsesquioxane, Cetylpg/PG-10/1 Dimethicone , Polymethyl Methacrylate, Synthetic Fluorophlogopite, Silica, Cyclopentasiloxane, Trimethylsiloxysilicate, 1,2-Hexanediol, VP/Hexadecene Copolymer, Sorbitan Sesquioleate, PEG -60 Hydrogenated Castor Oil, Disteadymonium Hectorite, Silica Dimethyl Silylate, Palmitic Acid, Stearic Acid, Propylene Carbonate, Ethylhexyl Glycerin, Phenoxyethanol, Rosehip Fruit Oil, Shea Butter, Car Prylic/Capric Triglyceride, Butylene Glycol, Propylene Glycol, Honey, Hydrogenated Lecithin, Ceramide NP, Red Iron Oxide, Titanium Dioxide, Red No. 202, Yellow No. 5, Red No. 104 (1), Black Iron Oxide, Fragrance
4. A12 Dashed Brown
Thành phần đầy đủ:
Dimethicone, Dimethicone/Vinyldimethicone Crosspolymer, Purified Water, Polyglyceryl-2 Isostearate, Isododecane, Polymethylsilsesquioxane, Cetylpg/PG-10/1 Dimethicone , Polymethyl Methacrylate, Synthetic Fluorophlogopite, Silica, Cyclopentasiloxane, Trimethylsiloxysilicate, 1,2-Hexanediol, VP/Hexadecene Copolymer, Sorbitan Sesquioleate, PEG -60 Hydrogenated Castor Oil, Disteadymonium Hectorite, Silica Dimethyl Silylate, Palmitic Acid, Stearic Acid, Propylene Carbonate, Ethylhexyl Glycerin, Phenoxyethanol, Rosehip Fruit Oil, Shea Butter, Car Prylic/Capric Triglyceride, Butylene Glycol, Propylene Glycol, Honey, Hydrogenated Lecithin, Ceramide NP, Red Iron Oxide, Yellow No. 4, Red No. 102, Black Iron Oxide, Red No. 202, Fragrance ","


Dùng cọ lấy một lượng son vừa đủ để thoa lên môi.


Bắt đầu từ lòng môi thoa lan ra ngoài, tuỳ vào liều lượng mà thoa 1 – 2 lớp son.


Lưu ý:


Khi sử dụng son kem bạn cần lắc nhẹ để chất son mềm và tan đều, tránh tình trạng bị lắng xuống đáy.


Điểm đặc biệt cần chú ý là bạn không được bặm môi khi đánh son kem. Bạn hãy tô cho vùng môi dưới, đợi khô rồi chuyển sang tô môi trên.


Vì son kem Hàn Quốc được tô bằng cọ nên để tránh tình trạng lem ra ngoài, bạn nên dùng bút chì kẻ viền môi. Việc tạo dáng cho môi giúp công đoạn đánh son sẽ dễ dàng hơn. Đồng thời, bước này sẽ giúp bạn khắc phục khuyết điểm môi mỏng.

 ",,
https://hasaki.vn/san-pham/nuoc-tay-trang-mat-moi-maybelline-150ml-1641.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-mat-moi-maybelline-150ml_H4fWdtduGKRtRkQj_img_385x385_622873_fit_center.png,100830002,Nước Tẩy Trang Mắt Môi Maybelline 150ml,24,441,112.000 ₫,178.000 ₫,66.000 ₫,-37%,4.7,7,12,6902395843467,Maybelline,Mỹ,China,Ngày Và Đêm,,"
Thành phần chính:


Panthenol: giúp làm dịu, giảm kích ứng, dưỡng ẩm da mang lại cảm giác dễ chịu.


Thành phần đầy đủ:
Aqua/Water, Cyclopentasiloxane, Isohexadecane, Isopropyl Palmitate, Panthenol,Dipotassium Phosphate, Poloxamer 184, Polyaminopropyl Biguanide, Potassium Phosphate, Sodium Chloride, Ci 61565/ Green 6 (Fil B7222/3) ","


Lắc đều trước khi sử dụng.


Thấm đều sản phẩm lên một miếng bông, đặt lên khu vực mắt và môi vài giây.


Sau đó nhẹ nhàng lau sạch lớp trang điểm trên môi và mắt xuôi theo chiều của lông mày và lông mi.

 ",Da thường/Mọi loại da,
https://hasaki.vn/san-pham/son-thoi-3ce-vo-trong-suot-unstained-red-do-phan-3-5g-103665.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-son-thoi-3ce-vo-trong-suot-unstained-red-do-phan-3-5g-1721287805_img_385x385_622873_fit_center.jpg,422209392,Son Thỏi 3CE Vỏ Trong Suốt Unstained Red - Đỏ Phấn 3.5g,24,115,304.000 ₫,380.000 ₫,76.000 ₫,-20%,5.0,11,8,8809664984488,3CE,Hàn Quốc,Korea,Dạng Lì,Nữ,"
1. 3CE Soft Matte Lipstick #Unstained Red
Dimethicone, Isoamyl Laurate, Polyglyceryl-2 Triisostearate, Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Synthetic Wax, Yellow 6 Lake (CI 15985), Isoeicosane, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Silica, Euphorbia Cerifera (Candelilla) Wax, Iron Oxides (CI 77491), Diglyceryl Sebacate/Isopalmitate, Polyethylene, Ethylhexyl Hydroxystearate, Red 28 Lake (CI 45410), Dimethicone Crosspolymer, Phytosteryl Macadamiate, Diisostearyl Malate, Copernicia Cerifera (Carnauba) Wax, Sorbitan Isostearate, Polyglyceryl-2 Diisostearate, Polyhydroxystearic Acid, Triethoxycaprylylsilane, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Caprylic/Capric Triglyceride, Polyglyceryl-3 Polyricinoleate, Stearalkonium Hectorite, Propylene Carbonate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Red 7 (CI 15850), Iron Oxides (CI 77499), Mica (CI 77019), Red 6 (CI 15850)
2. 3CE Soft Matte Lipstick #Eternal Warm
Dimethicone, Isoamyl Laurate, Polyglyceryl-2 Triisostearate, Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Synthetic Wax, Iron Oxides (CI 77491), Isoeicosane, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Silica, Iron Oxides (CI 77492), Euphorbia Cerifera (Candelilla) Wax, Diglyceryl Sebacate/Isopalmitate, Polyethylene, Dimethicone Crosspolymer, Phytosteryl Macadamiate, Iron Oxides (CI 77499), Copernicia Cerifera (Carnauba) Wax, Sorbitan Isostearate, Caprylic/Capric Triglyceride, Ethylhexyl Hydroxystearate, Diisostearyl Malate, Polyhydroxystearic Acid, Polyglyceryl-2 Diisostearate, Triethoxycaprylylsilane, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Stearalkonium Hectorite, Polyglyceryl-3 Polyricinoleate, Propylene Carbonate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Mica (CI 77019), Yellow 6 Lake (CI 15985), Red 7 (CI 15850)
3. 3CE Soft Matte Lipstick #Sensual Breeze
Dimethicone, Isoamyl Laurate, Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer, Polyglyceryl-2 Triisostearate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Synthetic Wax, Isoeicosane, Bis-Diglyceryl Polyacyladipate-2, Iron Oxides (CI 77491), Hydrogenated Polyisobutene, Silica, Iron Oxides (CI 77492), Euphorbia Cerifera (Candelilla) Wax, Diglyceryl Sebacate/Isopalmitate, Polyethylene, Dimethicone Crosspolymer, Diisostearyl Malate, Phytosteryl Macadamiate, Red 7 (CI 15850), Copernicia Cerifera (Carnauba) Wax, Sorbitan Isostearate, Caprylic/Capric Triglyceride, Ethylhexyl Hydroxystearate, Polyglyceryl-2 Diisostearate, Polyhydroxystearic Acid, Triethoxycaprylylsilane, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Stearalkonium Hectorite, Polyglyceryl-3 Polyricinoleate, Propylene Carbonate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxides (CI 77499), Mica (CI 77019) ","
Cách sử dụng: Lấy một lượng nhỏ và thoa một cách nhẹ nhàng.
Lưu ý khi sử dụng:
1) Nếu bạn gặp các triệu chứng: đốm đỏ, sưng tấy, ngứa ngáy hoặc bất kỳ tác dụng phụ nào khác trong lúc dùng hoặc sau khi sử dụng, vui lòng ngừng sử dụng và liên hệ để lấy ý kiến từ bác sĩ
2) Không sử dụng sản phẩm trên vết thương hoặc bất kỳ vùng da bị dị ứng.
3) Lưu ý khi bảo quản và sử dụng. a) Để xa tầm tay trẻ em. b) Tránh ánh nắng mặt trời trực tiếp.
  ",,
https://hasaki.vn/san-pham/son-bong-maybelline-61-risky-gach-dun-4-2ml-106415.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-son-bong-maybelline-61-risky-gach-dun-4-2ml_t5ttTPRktbZVHjsm_img_385x385_622873_fit_center.png,422211114,Son Bóng Maybelline 61 Risky - Gạch Đun 4.2ml,24,97,218.000 ₫,298.000 ₫,80.000 ₫,-27%,5.0,16,22,6902395841241,Maybelline,Mỹ,China,Dạng Bóng,Tất cả,"
Isododecane, Dimethicone, Trimethylsiloxysilicate, Polymethylsilsesquioxane/Trimethylsiloxysilicate, Polypropylsilsesquioxane, C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane, Trimethylsiloxyphenyl Dimethicone, Ci 77891 / Titanium Dioxide, Trimethyl Pentaphenyl Trisiloxane, Bis-Stearyl Dimethicone, Dimethiconol, Ci 77491, Ci 77499 / Iron Oxides, Trihydroxystearin, Phenoxyethanol, Parfum / Fragrance, Tocopheryl Acetate, Ci 15850 / Red 7, Ethylhexylglycerin, Triethoxycaprylylsilane, Isopropyl Palmitate, Isopropyl Myristate, Alumina, Silica, Aloe Barbadensis Leaf Extract, Tocopherol,Limonene, Benzyl Benzoate, Benzyl Alcohol, Citronellol, Linalool. ","


Bước 1: LẮC! Lắc đều son khoảng 5 giây trước khi sử dụng!


Bước 2: LƯỚT! Lướt nhẹ 1-2 lớp son theo cách bạn thích. Vì là son bóng, do đó không nên bặm môi quá nhiều khi sử dụng. Sau đó, để son lưu lại tự nhiên trên môi.


Bước 3: LÊN! 

 ",,
https://hasaki.vn/san-pham/son-duong-mediheal-ho-tro-giam-tham-lam-hong-moi-ban-ngay-10ml-12588.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-son-duong-mediheal-ho-tro-giam-tham-lam-hong-moi-ban-ngay-10ml_NotKy3WT6x5ZRoZT_img_385x385_622873_fit_center.png,234300029,Son Dưỡng Môi Mediheal Ban Ngày Màu Hồng 10ml,24,457,65.000 ₫,143.000 ₫,78.000 ₫,-55%,4.3,45,144,8809335481063,Mediheal,Hàn Quốc,Korea,Có Màu ,Tất cả,"
1. Labocare Pantenolips Healssence Coral (màu hồng)
Thành phần chính:


10% Panthenol (được chuyển hóa từ Vitamin B5): có tác dụng phục hồi làn môi đang bị tổn thương, cải thiện rãnh môi, ngăn ngừa các dấu hiệu lão hóa.


Chiết xuất rau má: có tác dụng làm dịu, giảm viêm và kích ứng.


Chiết xuất từ các loại tinh dầu: Dầu hạt hướng dương, Dầu argan, Dầu hạt macadamia và Dầu Olive: có độ ẩm tối ưu, giảm thiểu tối đa tình trạng nứt nẻ và khô môi, kích thích tái tạo collagen, để bờ môi luôn mềm mịn, căng bóng.


2. Labocare Pantenolips Healssence (màu xanh)
Thành phần chính:


10% Panthenol (được chuyển hóa từ Vitamin B5): có tác dụng phục hồi làn môi đang bị tổn thương, cải thiện rãnh môi, ngăn ngừa các dấu hiệu lão hóa.


Chiết xuất rau má: có tác dụng làm dịu, giảm viêm và kích ứng.


Chiết xuất từ các loại tinh dầu: Dầu hạt hướng dương, Dầu argan, Dầu hạt macadamia và Dầu Olive: có độ ẩm tối ưu, giảm thiểu tối đa tình trạng nứt nẻ và khô môi, kích thích tái tạo collagen, để bờ môi luôn mềm mịn, căng bóng.


Thành phần chi tiết: Water, Sorbitol, Panthenol, Phytosteryl Sunflowerseedate, Isohexadecane, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Diisostearyl Malate, PEG/PPG-17/6 Copolymer, Beeswax, Hydrogenated Palm Glycerides, Polysorbate 60, Glyceryl …
3. Labocare Paneno Lips Healbalm (màu đỏ)
Thành phần chính:


10% Panthenol (được chuyển hóa từ Vitamin B5): có tác dụng phục hồi làn môi đang bị tổn thương, cải thiện rãnh môi, ngăn ngừa các dấu hiệu lão hóa.


Chiết xuất rau má: có tác dụng làm dịu, giảm viêm và kích ứng.


Chiết xuất từ các loại tinh dầu: Dầu hạt hướng dương, Dầu argan, Dầu hạt macadamia và Dầu Olive: có độ ẩm tối ưu, giảm thiểu tối đa tình trạng nứt nẻ và khô môi, kích thích tái tạo collagen, để bờ môi luôn mềm mịn, căng bóng.


Thành phần chi tiết: 
Water, Panthenol, Sorbitol, Isohexadecane, Caprylic/Capric Triglyceride, Glycerin, Dilinoleic Acid/Propanediol Copolymer, Cetearyl Alcohol, Diisostearyl Malate, Macadamia Ternifolia Seed Oil, PEG/PPG-17/6 Copolymer, Phytosteryl Sunflowerseedate, Beeswax, Polysorbate 60, Glyceryl Stearate, Methyl Glucose Sesquistearate, Sorbitan Sesquioleate, Hydrogenated Vegetable Glycerides, Dimethicone, 1,2-Hexanediol, Tocopheryl Acetate, PEG-100 Stearate, Arginine, Carbomer, Butylene Glycol, Caprylhydroxamic Acid, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Allantoin, Fragrance, Polysorbate 80, Disodium EDTA, Sodium Hyaluronate, Helianthus Annuus Seed Oil, Olea Europaea Fruit Oil, Argania Spinosa Kernel Oil, Sorbitan Oleate ","


Thoa son để dưỡng ẩm và làm mềm làn môi, thoa son thường xuyên để thấy hiệu quả rõ rệt.


Sử dụng son dưỡng để bảo vệ và làm căng bóng môi trước khi thoa son màu.


Không thoa lên vết thương, vùng da viêm nhiễm, lở loét.


Nhớ tẩy da chết và dùng son dưỡng ẩm môi trước khi ngủ nhé.

 ",,
https://hasaki.vn/san-pham/son-tint-carslan-cap-am-cang-mong-g102-4-5g-122544.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-son-tint-carslan-cap-am-cang-mong-g102-4-5g-1718356141_img_385x385_622873_fit_center.jpg,422220152,Son Tint Carslan Cấp Ẩm Căng Mọng G102 4.5g,24,4,198.000 ₫,250.000 ₫,52.000 ₫,-21%,0.0,0,0,6940412445874,Carslan,Trung Quốc,China,Dạng Bóng,Tất cả,"
Hydrogenated Polyisobutene, Hydrogenated Polydecene, Cetearyl Octanoate, Hydrogenated Styrene/Isoprene Copolymer, Diisostearyl Malate, Dimethicone/Vinyl Dimethicone Crosspolymer, CI 77492 (Iron Oxides), Caprylic/Capric Triglyceride, Zea Mays (Corn) Starch, Menthol Lactate, CI 77891 (Titanium Dioxide), Dibutyl Ethylhexanoyl Glutamide, CI 77491 (Iron Oxides), Lonicera Caprifolium (Honeysuckle) Flower Extract, CI 77499 (Iron Oxides).
Thành phần khác: CI 15850, Tetrahydroxypropyl Ethylenediamine, Lonicera Japonica (Honeysuckle) Flower Extract, Tocopherol (Vitamin E), Hydrogenated Vegetable Oil*, Simmondsia Chinensis (Jojoba) Seed Oil, Hydroxystearic Acid, Crithmum Maritimum Extract, Undaria Pinnatifida Extract. ","
Thoa son từ giữa ra ngoài để có một cái nhìn tự nhiên, tiếp tục tạo lớp để xây dựng theo cường độ mong muốn. ",Da thường/Mọi loại da,
https://hasaki.vn/san-pham/sap-tay-trang-banila-co-original-cho-moi-loai-da-100ml-106709.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211334-1703745337_img_385x385_622873_fit_center.jpg,422211334,Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da 100ml,24,97,322.000 ₫,480.000 ₫,158.000 ₫,-33%,4.5,2,7,8809759907545,Banila Co,Hàn Quốc,Korea,,Tất cả,"
1. Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da (màu hồng)
Thành phần đầy đủ: 
Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Onsen-Sui, Phenoxyethanol, Butylene Glycol, Lithospermum Erythrorhizon Root Extract, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer
2. Sáp Tẩy Trang Banila Co Revitalizing Cho Da Hỗn Hợp (màu xanh dương)
Thành phần đầy đủ: 
Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Phenoxyethanol, Butylene Glycol, Fragrance, Vitis Vinifera (Grape) Seed Oil, Olea Europaea (Olive) Fruit Oil, Tocopheryl Acetate, Water, Ethylhexylglycerin, Thuja Orientalis Leaf Extract, Propanediol, Zanthoxylum Piperitum Fruit Extract, Carthamus Tinctorius (Safflower) Flower Extract, Dextrin, Gardenia Florida Fruit Extract, Vitis Vinifera (Grape) Root Extract, Vitis Vinifera (Grape) Vine Extract, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Resveratrol, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer
3. Sáp Tẩy Trang Banila Co Nourishing Cho Da Khô (màu vàng)
Thành phần đầy đủ: 
Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Carthamus Tinctorius (Safflower) Seed Oil, Panax Ginseng Berry Extract, Oenothera Biennis (Evening Primrose) Oil, Helianthus Annuus (Sunflower) Seed Oil, Squalane, Phenoxyethanol, Butylene Glycol, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Panax Ginseng Root Extract, Royal Jelly Extract, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Zea Mays (Corn) Oil, Beta-Carotene, Polydiethyleneglycol Adipate/IPDI Copolymer, Tocopherol, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer
4. Sáp Tẩy Trang Banila Co Purifying Cho Da Nhạy Cảm (màu tím)
Thành phần đầy đủ: 
Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Water, Phenoxyethanol, Butylene Glycol, Fragrance, Tocopheryl Acetate, Oenothera Biennis (Evening Primrose) Oil, Argania Spinosa Kernel Oil, Ethylhexylglycerin, Anthemis Nobilis Flower Water, Glycerin, Centella Asiatica Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Citric Acid, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Portulaca Oleracea Extract, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Sodium Benzoate, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Potassium Sorbate, Sodium Metabisulfite, Zea Mays (Corn) Oil, Beta-Carotene, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer, Tocopherol
5. Sáp Tẩy Trang Banila Co Pore Clarifying Cho Da Dầu, Mụn (màu xanh lá)
Thành phần đầy đủ:
Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Simmondsia Chinensis (Jojoba) Seed Oil, 1,2-Hexanediol, C12-13 Alkyl Lactate, Butylene Glycol, Water, Salicylic Acid, Capryloyl Salicylic Acid, Melaleuca Alternifolia (Tea Tree) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Malpighia Glabra (Acerola) Fruit Extract, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract. ","


Lấy 1 lượng sản phẩm vừa đủ Sáp Tẩy Trang và để trên bàn tay khô.


Xoa đều lòng bàn tay và thoa đều lên mặt.


Massage nhẹ nhàng theo chuyển động để tẩy trang.


Thêm một lượng nước nhỏ và nhũ hóa sau đó rửa sạch lại bằng nước ấm.

 ",Da thường/Mọi loại da,
https://hasaki.vn/san-pham/son-kem-li-3ce-mau-do-cam-child-like-4g-35130.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-230700047-1695179801_img_385x385_622873_fit_center.jpg,230700047,Son Kem Lì 3CE Mịn Màng Như Nhung Child Like - Đỏ Cam 4g,24,91,270.000 ₫,360.000 ₫,90.000 ₫,-25%,3.3,3,16,8809437396593,3CE,Hàn Quốc,Korea,Dạng Lì,Nữ,"
Dimethicone, Polyglyceryl-2 Triisostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, C30-45 Alkyl Dimethicone, Dimethicone Crosspolymer, Isododecane, Cyclopentasiloxane, Silica, Titanium Dioxide (CI 77891), Talc, Iron Oxides (CI 77491), Yellow 6 lake (CI 15985), Cyclohexasiloxane, 1,2-Hexanediol, Disteardimonium Hectorite, Red 28 Lake (CI 45410), Phenoxyethanol, PEG-10 Dimethicone, Fragrance, Tocopheryl Acetate, Propylene Carbonate ","



Dùng cọ son tán đều lên môi, có thể son lòng môi hoặc full môi tùy ý thích.


 ",,
